timestamp,FQDN_count,subdomain_length,upper,lower,numeric,entropy,special,labels,labels_max,labels_average,len,subdomain,longest_word,sld,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Mean,Bwd Packet Length Mean,Fwd Packets/s,Bwd Packets/s,Fwd IAT Mean,Bwd IAT Mean,Flow IAT Mean,Flow Packets/s,Flow Bytes/s
2020-11-23 00:17:06.448706,24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,11,1,3,9,30430,1,1,42.0,74.0,42.0,74.0,32.86230693,32.86230693,0.0,0.0,30430.0,65.72461387,3812.027604
2020-11-25 03:43:57.997747,25,8,0,10,9,2.556641667147437,6,6,7,3.333333333333333,12,1,2,5,67397,1,1,41.0,196.0,41.0,196.0,14.83745567,14.83745567,0.0,0.0,67397.0,29.67491135,3516.476995
2020-11-20 16:46:01.917754,27,10,0,10,11,2.5704170701729945,6,6,7,3.6666666666666665,14,1,2,5,21121,194,0,84928.0,0.0,437.7731958762887,0.0,9185.171156668715,0.0,109.43523316062176,0.0,109.43523316062176,9185.171156668715,4021021.7319255713
2020-11-22 14:36:35.103757,24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,11,1,3,9,48310,200,0,88000.0,0.0,440.0,0.0,4139.92962119644,0.0,242.7638190954774,0.0,242.7638190954774,4139.92962119644,1821569.033326433
2020-11-23 00:17:06.448706,24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,11,1,3,9,30430,1,1,42.0,74.0,42.0,74.0,32.86230693,32.86230693,0.0,0.0,30430.0,65.72461387,3812.027604
2020-11-25 03:43:57.997747,25,8,0,10,9,2.556641667147437,6,6,7,3.333333333333333,12,1,2,5,67397,1,1,41.0,196.0,41.0,196.0,14.83745567,14.83745567,0.0,0.0,67397.0,29.67491135,3516.476995
2020-11-20 16:46:01.917754,27,10,0,10,11,2.5704170701729945,6,6,7,3.6666666666666665,14,1,2,5,21121,194,0,84928.0,0.0,437.7731958762887,0.0,9185.171156668715,0.0,109.43523316062176,0.0,109.43523316062176,9185.171156668715,4021021.7319255713
2020-11-22 14:36:35.103757,24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,11,1,3,9,48310,200,0,88000.0,0.0,440.0,0.0,4139.92962119644,0.0,242.7638190954774,0.0,242.7638190954774,4139.92962119644,1821569.033326433
2020-11-23 00:17:06.448706,24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,11,1,3,9,30430,1,1,42.0,74.0,42.0,74.0,32.86230693,32.86230693,0.0,0.0,30430.0,65.72461387,3812.027604
2020-11-25 03:43:57.997747,25,8,0,10,9,2.556641667147437,6,6,7,3.333333333333333,12,1,2,5,67397,1,1,41.0,196.0,41.0,196.0,14.83745567,14.83745567,0.0,0.0,67397.0,29.67491135,3516.476995
2020-11-20 16:46:01.917754,27,10,0,10,11,2.5704170701729945,6,6,7,3.6666666666666665,14,1,2,5,21121,194,0,84928.0,0.0,437.7731958762887,0.0,9185.171156668715,0.0,109.43523316062176,0.0,109.43523316062176,9185.171156668715,4021021.7319255713
2020-11-22 14:36:35.103757,24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,11,1,3,9,48310,200,0,88000.0,0.0,440.0,0.0,4139.92962119644,0.0,242.7638190954774,0.0,242.7638190954774,4139.92962119644,1821569.033326433
2020-11-23 01:00:18.248233,27,10,0,10,11,2.767194748898957,6,6,7,3.6666666666666665,14,1,2,5,248027,200,0,88000.0,0.0,440.0,0.0,806.3638232934317,0.0,1246.3668341708544,0.0,1246.3668341708544,806.3638232934317,354800.08224911
2020-11-20 19:11:07.550288,8,0,0,7,0,2.15413541726763,1,2,5,3.5,6,0,1120,1491,3,2,0,66.0,0.0,33.0,0.0,666666.6666666665,0.0,3.0,0.0,3.0,666666.6666666665,22000000.0
2020-11-25 03:59:42.793239,26,9,0,10,10,2.742337624271511,6,6,7,3.5,13,1,2,5,30675,1,1,51.0,121.0,51.0,121.0,32.599837,32.599837,0.0,0.0,30675.0,65.199674,5607.171964
2020-11-21 14:46:39.799239,12,0,0,11,0,2.1897352853986263,1,2,9,5.5,10,0,385,479,106,2,0,2928.0,0.0,1464.0,0.0,18867.924528301886,0.0,106.0,0.0,106.0,18867.924528301886,27622641.50943396
2020-11-22 23:52:50.460924,24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,11,1,3,9,1,2,0,994.0,0.0,497.0,0.0,2000000.0,0.0,1.0,0.0,1.0,2000000.0,994000000.0
2020-11-23 23:16:28.177351,24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,11,1,3,9,48022,1,1,46.0,62.0,46.0,62.0,20.8237891,20.8237891,0.0,0.0,48022.0,41.64757819,2248.969222
2020-11-23 22:13:36.870011,27,10,0,10,11,2.767194748898957,6,6,7,3.6666666666666665,14,1,2,5,51100,200,0,88000.0,0.0,440.0,0.0,3913.8943248532287,0.0,256.7839195979899,0.0,256.7839195979899,3913.8943248532287,1722113.502935421
2020-11-20 22:19:13.351470,27,10,0,10,11,2.5704170701729945,6,6,7,3.6666666666666665,14,1,2,5,65916025,2,2,112.0,220.0,56.0,110.0,0.030341635,0.030341635,65800000.0,65900000.0,22000000.0,0.060683271,5.036711483
2020-11-25 01:47:16.642295,26,9,0,10,10,2.742337624271511,6,6,7,3.5,13,1,2,5,76,2,0,482.0,0.0,241.0,0.0,26315.78947368421,0.0,76.0,0.0,76.0,26315.78947368421,6342105.263157895
2020-11-24 06:32:27.160469,24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,11,1,3,9,52,2,0,340.0,0.0,170.0,0.0,38461.53846153846,0.0,52.0,0.0,52.0,38461.53846153846,6538461.538461539
2020-11-25 00:40:45.170532,27,10,0,10,11,2.767194748898957,6,6,7,3.6666666666666665,14,1,2,5,2,2,0,482.0,0.0,241.0,0.0,1000000.0,0.0,2.0,0.0,2.0,1000000.0,241000000.0
2020-11-20 19:41:17.176346,27,10,0,10,11,2.767194748898957,6,6,7,3.6666666666666665,14,1,2,5,60414,1,1,56.0,72.0,56.0,72.0,16.55245473,16.55245473,0.0,0.0,60414.0,33.10490946,2118.714205
2020-11-25 03:54:17.712869,24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,11,1,3,9,111739,4,0,5824.0,0.0,1456.0,0.0,35.7977071568566,0.0,37246.33333333333,0.0,37246.33333333333,35.7977071568566,52121.46162038321
2020-11-22 23:09:16.880091,24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,11,1,3,9,46,2,0,666.0,0.0,333.0,0.0,43478.260869565216,0.0,46.0,0.0,46.0,43478.260869565216,14478260.869565217
